"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"CLARINEX (NDA #021165)","016","DESLORATADINE","MERCK SHARP DOHME","Manufacturing Change or Addition","07/23/2013"
"RECLAST (NDA #021817)","014","ZOLEDRONIC ACID","NOVARTIS","Manufacturing Change or Addition","07/23/2013"
"HYLENEX RECOMBINANT (NDA #021859)","018","HYALURONIDASE RECOMBINANT HUMAN","HALOZYME THERAP","Manufacturing Change or Addition","07/23/2013"
"GILOTRIF (NDA #201292)","001","AFATINIB DIMALEATE","BOEHRINGER INGELHEIM","Labeling Revision","07/23/2013"
"EDURANT (NDA #202022)","006","RILPIVIRINE HYDROCHLORIDE","JANSSEN PRODS","Manufacturing Change or Addition","07/23/2013"
"NORVASC (NDA #019787)","057","AMLODIPINE BESYLATE","PFIZER","Manufacturing Change or Addition","07/24/2013"
"PEDIATRIC ADVIL (NDA #020812)","019","IBUPROFEN","PFIZER","Manufacturing Change or Addition","07/24/2013"
"INVANZ (NDA #021337)","041","ERTAPENEM SODIUM","MERCK SHARP DOHME","Labeling Revision","07/24/2013"
"VIREAD (NDA #021356)","046","TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Efficacy Supplement with Clinical Data to Support","07/24/2013"
"ZINGO (NDA #022114)","002","LIDOCAINE HYDROCHLORIDE","POWDER PHARMS","Manufacturing Change or Addition","07/24/2013"
"VIREAD (NDA #022577)","003","TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Efficacy Supplement with Clinical Data to Support","07/24/2013"
"CELLCEPT (NDA #050759)","034","MYCOPHENOLATE MOFETIL","ROCHE PALO","Manufacturing Change or Addition","07/24/2013"
"DONEPEZIL HYDROCHLORIDE (ANDA #202542)","000","DONEPEZIL HYDROCHLORIDE","PAR PHARM","Approval","07/24/2013"
"DONEPEZIL HYDROCHLORIDE (ANDA #202631)","000","DONEPEZIL HYDROCHLORIDE","MACLEODS PHARMS LTD","Tentative Approval","07/24/2013"
"DONEPEZIL HYDROCHLORIDE (ANDA #202723)","000","DONEPEZIL HYDROCHLORIDE","DR REDDYS LABS LTD","Approval","07/24/2013"
"LO MINASTRIN FE (NDA #204654)","000","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","WARNER CHILCOTT","Approval","07/24/2013"
"PROCARDIA (NDA #018482)","051","NIFEDIPINE","PFIZER","Labeling Revision","07/25/2013"
"NIZORAL (NDA #018533)","040","KETOCONAZOLE","JANSSEN PHARMS","Labeling Revision","07/25/2013"
"PROCARDIA XL (NDA #019684)","026","NIFEDIPINE","PFIZER","Labeling Revision","07/25/2013"
"TOPAMAX (NDA #020505)","051","TOPIRAMATE","JANSSEN PHARMS","Manufacturing Change or Addition","07/25/2013"
"ZANTAC 75 (NDA #020520)","026","RANITIDINE HYDROCHLORIDE","BOEHRINGER INGELHEIM","Manufacturing Change or Addition","07/25/2013"
"KEPPRA (NDA #021035)","089","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"VFEND (NDA #021267)","042","VORICONAZOLE","PFIZER","Manufacturing Change or Addition","07/25/2013"
"BUTRANS (NDA #021306)","016","BUPRENORPHINE","PURDUE PHARMA LP","Manufacturing Change or Addition","07/25/2013"
"KEPPRA (NDA #021505)","030","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"KEPPRA (NDA #021872)","012","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"KEPPRA (NDA #021872)","013","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"KEPPRA XR (NDA #022285)","013","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"KEPPRA XR (NDA #022285)","015","LEVETIRACETAM","UCB INC","Labeling Revision","07/25/2013"
"ORACEA (NDA #050805)","008","DOXYCYCLINE","GALDERMA LABS LP","Labeling Revision","07/25/2013"
"CETIRIZINE HYDROCHLORIDE ALLERGY (ANDA #077318)","000","CETIRIZINE HYDROCHLORIDE","CIPLA LTD","Approval","07/25/2013"
"INJECTAFER (NDA #203565)","000","FERRIC CARBOXYMALTOSE","LUITPOLD","Approval","07/25/2013"
"FETZIMA (NDA #204168)","000","LEVOMILNACIPRAN HYDROCHLORIDE","FOREST LABS INC","Approval","07/25/2013"
"DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"DELFLEX W/ DEXTROSE 2.5% IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"DELFLEX W/ DEXTROSE 4.25% IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM IN PLASTIC CONTAINER (NDA #018883)","050","CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","FRESENIUS MEDCL","Manufacturing Change or Addition","07/26/2013"
"PROZAC (NDA #018936)","100","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling Revision","07/26/2013"
"PROZAC (NDA #018936)","101","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Efficacy Supplement with Clinical Data to Support","07/26/2013"
"SARAFEM (NDA #018936)","100","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Labeling Revision","07/26/2013"
"SARAFEM (NDA #018936)","101","FLUOXETINE HYDROCHLORIDE","ELI LILLY AND CO","Efficacy Supplement with Clinical Data to Support","07/26/2013"
"DURAGESIC-100 (NDA #019813)","059","FENTANYL","JANSSEN PHARMS","Manufacturing Change or Addition","07/26/2013"
"DURAGESIC-12 (NDA #019813)","059","FENTANYL","JANSSEN PHARMS","Manufacturing Change or Addition","07/26/2013"
"DURAGESIC-25 (NDA #019813)","059","FENTANYL","JANSSEN PHARMS","Manufacturing Change or Addition","07/26/2013"
"DURAGESIC-50 (NDA #019813)","059","FENTANYL","JANSSEN PHARMS","Manufacturing Change or Addition","07/26/2013"
"DURAGESIC-75 (NDA #019813)","059","FENTANYL","JANSSEN PHARMS","Manufacturing Change or Addition","07/26/2013"
"ZYPREXA (NDA #020592)","063","OLANZAPINE","LILLY","Efficacy Supplement with Clinical Data to Support","07/26/2013"
"ZYPREXA ZYDIS (NDA #021086)","041","OLANZAPINE","LILLY","Efficacy Supplement with Clinical Data to Support","07/26/2013"
"PROZAC WEEKLY (NDA #021235)","021","FLUOXETINE HYDROCHLORIDE","LILLY","Labeling Revision","07/26/2013"
"INSPRA (NDA #021437)","012","EPLERENONE","GD SEARLE LLC","Manufacturing Change or Addition","07/26/2013"
"SYMBYAX (NDA #021520)","037","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","LILLY","Labeling Revision","07/26/2013"
"SYMBYAX (NDA #021520)","039","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","LILLY","Efficacy Supplement with Clinical Data to Support","07/26/2013"
"ABSTRAL (NDA #022510)","010","FENTANYL CITRATE","GALENA BIOPHARMA","Labeling Revision","07/26/2013"
"MEFLOQUINE HYDROCHLORIDE (ANDA #076175)","030","MEFLOQUINE HYDROCHLORIDE","SANDOZ","Labeling Revision","07/26/2013"
"MEFLOQUINE HYDROCHLORIDE (ANDA #076392)","008","MEFLOQUINE HYDROCHLORIDE","BARR","Labeling Revision","07/26/2013"
"MEFLOQUINE HYDROCHLORIDE (ANDA #076523)","007","MEFLOQUINE HYDROCHLORIDE","ROXANE","Labeling Revision","07/26/2013"
"CYCLOBENZAPRINE HYDROCHLORIDE (ANDA #090864)","000","CYCLOBENZAPRINE HYDROCHLORIDE","PAR PHARM INC","Tentative Approval","07/26/2013"
"RAMELTEON (ANDA #091693)","000","RAMELTEON","TEVA PHARMS USA","Approval","07/26/2013"
"ARMODAFINIL (ANDA #200751)","000","ARMODAFINIL","LUPIN LTD","Tentative Approval","07/26/2013"
"DOXEPIN HYDROCHLORIDE (ANDA #201951)","000","DOXEPIN HYDROCHLORIDE","ACTAVIS ELIZABETH","Approval","07/26/2013"
"FENOFIBRATE (MICRONIZED) (ANDA #202252)","000","FENOFIBRATE","APOTEX INC","Approval","07/26/2013"
"LEVOCETIRIZINE DIHYDROCHLORIDE (ANDA #202673)","000","LEVOCETIRIZINE DIHYDROCHLORIDE","TARO PHARM INDS","Approval","07/26/2013"
"CHOLINE C-11 (NDA #203155)","001","CHOLINE C-11","MCPRF","Manufacturing Change or Addition","07/26/2013"
"ULTRAVIST 150 (NDA #020220)","040","IOPROMIDE","BAYER HLTHCARE","Manufacturing Change or Addition","07/29/2013"
"ULTRAVIST 240 (NDA #020220)","040","IOPROMIDE","BAYER HLTHCARE","Manufacturing Change or Addition","07/29/2013"
"ULTRAVIST 300 (NDA #020220)","040","IOPROMIDE","BAYER HLTHCARE","Manufacturing Change or Addition","07/29/2013"
"ULTRAVIST 300 IN PLASTIC CONTAINER (NDA #020220)","040","IOPROMIDE","BAYER HLTHCARE","Manufacturing Change or Addition","07/29/2013"
"ULTRAVIST 370 (NDA #020220)","040","IOPROMIDE","BAYER HLTHCARE","Manufacturing Change or Addition","07/29/2013"
"TEGRETOL-XR (NDA #020234)","041","CARBAMAZEPINE","NOVARTIS","Manufacturing Change or Addition","07/29/2013"
"CELEBREX (NDA #020998)","042","CELECOXIB","GD SEARLE","Manufacturing Change or Addition","07/29/2013"
"VIVITROL (NDA #021897)","020","NALTREXONE","ALKERMES","Labeling Revision","07/29/2013"
"VIVITROL (NDA #021897)","023","NALTREXONE","ALKERMES","Labeling Revision","07/29/2013"
"SPRIX (NDA #022382)","008","KETOROLAC TROMETHAMINE","LUITPOLD","Manufacturing Change or Addition","07/29/2013"
"DOXYCYCLINE (ANDA #091277)","000","DOXYCYCLINE","LUPIN LTD","Tentative Approval","07/29/2013"
"TEFLARO (NDA #200327)","010","CEFTAROLINE FOSAMIL","CEREXA","Manufacturing Change or Addition","07/29/2013"
"EDARBI (NDA #200796)","004","AZILSARTAN KAMEDOXOMIL","ARBOR PHARMS IRELAND","Manufacturing Change or Addition","07/29/2013"
"RANOLAZINE (ANDA #201046)","001","RANOLAZINE","LUPIN LTD","Approval","07/29/2013"
"ELETRIPTAN HYDROBROMIDE (ANDA #201536)","000","ELETRIPTAN HYDROBROMIDE","APOTEX INC","Tentative Approval","07/29/2013"
"MARCAINE HYDROCHLORIDE (NDA #016964)","071","BUPIVACAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"MARCAINE HYDROCHLORIDE PRESERVATIVE FREE (NDA #016964)","071","BUPIVACAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"MARCAINE HYDROCHLORIDE W/ EPINEPHRINE (NDA #016964)","071","BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"MARCAINE HYDROCHLORIDE W/ EPINEPHRINE PRESERVATIVE FREE (NDA #016964)","071","BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"ANGIOMAX (NDA #020873)","030","BIVALIRUDIN","MEDICINES CO","Manufacturing Change or Addition","07/30/2013"
"PEPCID COMPLETE (NDA #020958)","018","CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE","MCNEIL CONS","Labeling Revision","07/30/2013"
"CONCERTA (NDA #021121)","030","METHYLPHENIDATE HYDROCHLORIDE","JANSSEN PHARMS","Manufacturing Change or Addition","07/30/2013"
"MULTIHANCE (NDA #021357)","013","GADOBENATE DIMEGLUMINE","BRACCO","Labeling Revision","07/30/2013"
"MULTIHANCE MULTIPACK (NDA #021358)","012","GADOBENATE DIMEGLUMINE","BRACCO","Labeling Revision","07/30/2013"
"ABILIFY (NDA #021436)","037","ARIPIPRAZOLE","OTSUKA","Labeling Revision","07/30/2013"
"ABILIFY (NDA #021713)","029","ARIPIPRAZOLE","OTSUKA","Labeling Revision","07/30/2013"
"ABILIFY (NDA #021729)","021","ARIPIPRAZOLE","OTSUKA","Labeling Revision","07/30/2013"
"ABILIFY (NDA #021866)","022","ARIPIPRAZOLE","OTSUKA","Labeling Revision","07/30/2013"
"BUPIVACAINE HYDROCHLORIDE (NDA #022046)","005","BUPIVACAINE HYDROCHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"BUPIVACAINE HYDROCHLORIDE W/EPINEPHRINE (NDA #022046)","005","BUPIVACAINE HYDROCHLORIDE; EPINEPHRINE BITARTRATE","HOSPIRA","Manufacturing Change or Addition","07/30/2013"
"DULERA (NDA #022518)","011","FORMOTEROL FUMARATE; MOMETASONE FUROATE","MERCK SHARP DOHME","Labeling Revision","07/30/2013"
"CEFAZOLIN SODIUM (ANDA #065141)","003","CEFAZOLIN SODIUM","SAMSON MEDCL","Labeling Revision","07/30/2013"
"FLUTICASONE PROPIONATE (ANDA #091553)","000","FLUTICASONE PROPIONATE","PERRIGO ISRAEL","Approval","07/30/2013"
"SITAGLIPTIN; METFORMIN HYDROCHLORIDE (ANDA #202388)","000","SITAGLIPTIN; METFORMIN HYDROCHLORIDE","SANDOZ INC","Tentative Approval","07/30/2013"
"LISINOPRIL (ANDA #202554)","000","LISINOPRIL","ACCORD HLTHCARE","Approval","07/30/2013"
"AMINOSYN 10% (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 10% (PH6) (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 5% (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 7% (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 7% (PH6) (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 8.5% (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 8.5% (PH6) (NDA #017673)","089","AMINO ACIDS","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN 8.5% W/ ELECTROLYTES (NDA #017673)","089","AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"PARLODEL (NDA #017962)","071","BROMOCRIPTINE MESYLATE","US PHARMS HOLDINGS I","Manufacturing Change or Addition","07/31/2013"
"DEPAKENE (NDA #018081)","056","VALPROIC ACID","ABBVIE","Labeling Revision","07/31/2013"
"DEPAKENE (NDA #018082)","039","VALPROIC ACID","ABBVIE","Labeling Revision","07/31/2013"
"DEPAKOTE (NDA #018723)","048","DIVALPROEX SODIUM","ABBVIE","Labeling Revision","07/31/2013"
"AMINOSYN II 10% W/ ELECTROLYTES (NDA #019437)","034","AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN II 3.5% M (NDA #019437)","034","AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN II 7% W/ ELECTROLYTES (NDA #019437)","034","AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"AMINOSYN II 8.5% W/ ELECTROLYTES (NDA #019437)","034","AMINO ACIDS; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM CHLORIDE","HOSPIRA","Manufacturing Change or Addition","07/31/2013"
"DEPAKOTE (NDA #019680)","035","DIVALPROEX SODIUM","ABBVIE","Labeling Revision","07/31/2013"
"CEREZYME (NDA #020367)","088","IMIGLUCERASE","GENZYME","Manufacturing Change or Addition","07/31/2013"
"DEPACON (NDA #020593)","026","VALPROATE SODIUM","ABBVIE","Labeling Revision","07/31/2013"
"DEPAKOTE ER (NDA #021168)","024","DIVALPROEX SODIUM","ABBVIE","Labeling Revision","07/31/2013"
"CADUET (NDA #021540)","029","AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM","PFIZER","Manufacturing Change or Addition","07/31/2013"
"ZIDOVUDINE (NDA #022294)","003","ZIDOVUDINE","AUROBINDO PHARMA","Manufacturing Change or Addition","07/31/2013"
"GRALISE (NDA #022544)","019","GABAPENTIN","DEPOMED INC","Manufacturing Change or Addition","07/31/2013"
"EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE (ANDA #091055)","000","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","STRIDES ARCOLAB LTD","Tentative Approval","07/31/2013"
"GADAVIST (NDA #201277)","002","GADOBUTROL","BAYER HLTHCARE","Manufacturing Change or Addition","07/31/2013"
"SUBSYS (NDA #202788)","005","FENTANYL","INSYS THERAP","Labeling Revision","07/31/2013"
"SUBSYS (NDA #202788)","006","FENTANYL","INSYS THERAP","Labeling Revision","07/31/2013"
"DEXTROAMPHETAMINE SULFATE (ANDA #202893)","000","DEXTROAMPHETAMINE SULFATE","AUROLIFE PHARMA LLC","Approval","07/31/2013"
"ORAP (NDA #017473)","047","PIMOZIDE","TEVA","Manufacturing Change or Addition","08/01/2013"
"K-TAB (NDA #018279)","031","POTASSIUM CHLORIDE","ABBVIE","Manufacturing Change or Addition","08/01/2013"
"POTASSIUM CHLORIDE (NDA #018279)","031","POTASSIUM CHLORIDE","ABBVIE","Manufacturing Change or Addition","08/01/2013"
"GALZIN (NDA #020458)","005","ZINC ACETATE","TEVA","Manufacturing Change or Addition","08/01/2013"
"AMARYL (NDA #020496)","026","GLIMEPIRIDE","SANOFI AVENTIS US","Labeling Revision","08/01/2013"
"DITROPAN XL (NDA #020897)","032","OXYBUTYNIN CHLORIDE","JANSSEN PHARMS","Labeling Revision","08/01/2013"
"ALTABAX (NDA #022055)","003","RETAPAMULIN","GLAXO GRP LTD","Manufacturing Change or Addition","08/01/2013"
"GLIMEPIRIDE (ANDA #078952)","000","GLIMEPIRIDE","HIKMA PHARMS","Approval","08/01/2013"
"PIMTREA (ANDA #091247)","000","DESOGESTREL; ETHINYL ESTRADIOL","NOVAST LABS LTD","Approval","08/01/2013"
"NORETHINDRONE (ANDA #202260)","000","NORETHINDRONE","HAUPT PHARMA","Approval","08/01/2013"
"BUPHENYL (NDA #020572)","020","SODIUM PHENYLBUTYRATE","HYPERION THERAPS INC","Manufacturing Change or Addition","08/02/2013"
"VALSTAR PRESERVATIVE FREE (NDA #020892)","016","VALRUBICIN","ENDO PHARM","Efficacy Supplement with Clinical Data to Support","08/02/2013"
"CANCIDAS (NDA #021227)","030","CASPOFUNGIN ACETATE","MERCK","Labeling Revision","08/02/2013"
"FORTEO (NDA #021318)","035","TERIPARATIDE RECOMBINANT HUMAN","LILLY","Manufacturing Change or Addition","08/02/2013"
"LEVITRA (NDA #021400)","016","VARDENAFIL HYDROCHLORIDE","BAYER HLTHCARE","Efficacy Supplement with Clinical Data to Support","08/02/2013"
"MUCINEX D (NDA #021585)","029","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE","RECKITT BENCKISER","Manufacturing Change or Addition","08/02/2013"
"VELCADE (NDA #021602)","035","BORTEZOMIB","MILLENNIUM PHARMS","Manufacturing Change or Addition","08/02/2013"
"XENAZINE (NDA #021894)","009","TETRABENAZINE","VALEANT BERMUDA","Labeling Revision","08/02/2013"
"ZIANA (NDA #050802)","011","CLINDAMYCIN PHOSPHATE; TRETINOIN","MEDICIS","Manufacturing Change or Addition","08/02/2013"
"GABAPENTIN (ANDA #077261)","000","GABAPENTIN","TARO","Approval","08/02/2013"
"STAXYN (NDA #200179)","001","VARDENAFIL HYDROCHLORIDE","BAYER HLTHCARE","Efficacy Supplement with Clinical Data to Support","08/02/2013"
"CANDESARTAN CILEXETIL (ANDA #202079)","000","CANDESARTAN CILEXETIL","APOTEX INC","Tentative Approval","08/02/2013"
"BINOSTO (NDA #202344)","002","ALENDRONATE SODIUM","MISSION PHARMA","Manufacturing Change or Addition","08/02/2013"
"ZOLEDRONIC ACID (NDA #203231)","000","ZOLEDRONIC ACID","ACS DOBFAR INFO SA","Approval","08/02/2013"
"LOCOID (NDA #018514)","011","HYDROCORTISONE BUTYRATE","PRECISION DERMAT","Manufacturing Change or Addition","08/05/2013"
"CERETEC (NDA #019829)","026","TECHNETIUM TC-99M EXAMETAZIME KIT","GE HEALTHCARE","Labeling Revision","08/05/2013"
"BUPHENYL (NDA #020573)","019","SODIUM PHENYLBUTYRATE","HYPERION THERAPS INC","Manufacturing Change or Addition","08/05/2013"
"INVANZ (NDA #021337)","040","ERTAPENEM SODIUM","MERCK SHARP DOHME","Manufacturing Change or Addition","08/05/2013"
"STRATTERA (NDA #021411)","040","ATOMOXETINE HYDROCHLORIDE","LILLY","Labeling Revision","08/05/2013"
"STRATTERA (NDA #021411)","042","ATOMOXETINE HYDROCHLORIDE","LILLY","Labeling Revision","08/05/2013"
"VELCADE (NDA #021602)","036","BORTEZOMIB","MILLENNIUM PHARMS","Manufacturing Change or Addition","08/05/2013"
"ISENTRESS (NDA #022145)","029","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","08/05/2013"
"CARBAGLU (NDA #022562)","002","CARGLUMIC ACID","ORPHAN EUROPE","Labeling Revision","08/05/2013"
"PYLERA (NDA #050786)","008","BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE","FOREST LABS INC","Manufacturing Change or Addition","08/05/2013"
"NORETHINDRONE AND ETHINYL ESTRADIOL (ANDA #203006)","000","ETHINYL ESTRADIOL; NORETHINDRONE","FAMY CARE LTD","Approval","08/05/2013"
"ISENTRESS (NDA #203045)","007","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","08/05/2013"
"ANZEMET (NDA #020623)","011","DOLASETRON MESYLATE","SANOFI AVENTIS US","Manufacturing Change or Addition","08/06/2013"
"FEMCON FE (NDA #021490)","013","ETHINYL ESTRADIOL; NORETHINDRONE","WARNER CHILCOTT LLC","Manufacturing Change or Addition","08/06/2013"
"ABELCET (NDA #050724)","016","AMPHOTERICIN B","SIGMA TAU","Manufacturing Change or Addition","08/06/2013"
"DILANTIN (ANDA #084349)","070","PHENYTOIN SODIUM","PARKE DAVIS","Labeling Revision","08/06/2013"
"DILANTIN (ANDA #084427)","028","PHENYTOIN","PFIZER PHARMS","Labeling Revision","08/06/2013"
"STENDRA (NDA #202276)","003","AVANAFIL","VIVUS","Manufacturing Change or Addition","08/06/2013"
"ESOMEPRAZOLE STRONTIUM (NDA #202342)","000","ESOMEPRAZOLE STRONTIUM","HANMI PHARM CO LTD","Approval","08/06/2013"
"AMMONUL (NDA #020645)","009","SODIUM BENZOATE; SODIUM PHENYLACETATE","UCYCLYD","Manufacturing Change or Addition","08/07/2013"
"MIRENA (NDA #021225)","032","LEVONORGESTREL","BAYER HLTHCARE","Labeling Revision","08/07/2013"
"COMMIT (NDA #021330)","015","NICOTINE POLACRILEX","GLAXOSMITHKLINE CONS","Labeling Revision","08/07/2013"
"CRESTOR (NDA #021366)","028","ROSUVASTATIN CALCIUM","IPR","Labeling Revision","08/07/2013"
"CRESTOR (NDA #021366)","029","ROSUVASTATIN CALCIUM","IPR","Labeling Revision","08/07/2013"
"SYMBYAX (NDA #021520)","040","FLUOXETINE HYDROCHLORIDE; OLANZAPINE","LILLY","Labeling Revision","08/07/2013"
"ABLAVAR (NDA #021711)","004","GADOFOSVESET TRISODIUM","LANTHEUS MEDCL","Labeling Revision","08/07/2013"
"COSYNTROPIN (NDA #022028)","004","COSYNTROPIN","SANDOZ","Manufacturing Change or Addition","08/07/2013"
"GRISEOFULVIN (ANDA #091592)","000","GRISEOFULVIN, MICROSIZE","SANDOZ","Approval","08/07/2013"
"EZETIMIBE (ANDA #201790)","000","EZETIMIBE","MYLAN PHARMS INC","Tentative Approval","08/07/2013"
